5.171 5.086 5.148 6.285 2.949 5.445 4.973 4.654 3.318 4.149 3.106 6.191 5.414 4.745 3.125 4.48 3.343 4.304 5.672
5.099 5.401 5.865 4.854 4.728 6.512 6.081 4.926 6.119 4.386 4.137 4.185 5.343 5.339 6.619 3.669 3.502 6.302 3.397
4.508 5.326 5.902 3.315 3.917 5.811 4.412 3.085 6.285 4.865 2.874 3.017 4.88 5.69 6.372 3.593 2.861 5.449 4.525
3.787 4.508 3.046 3.534 4.151 5.172 4.617 5.364 3.687 6.264 6.012 3.399 5.581 4.007 5.007 6.03 4.45 4.3 4.192
4.491 3.39 3.936 5.547 3.952 6.469 6.005 6.246 3.15 5.822 4.79 3.149 4.78 3.199 4.501 5.625 4.718 5.265 4.68
2.896 5.722 5.347 6.024 3.508 3.084 6.633 3.275 4.664 3.121 4.252 5.678 4.716 6.004 4.144 4.875 3.466 3.784 5.095
5.176 3.778 4.722 2.99 4.378 3.881 4.853 4.525 6.038 3.919 3.721 4.596 4.754 4.341 5.603 6.016 5.397 5.034 3.413
6.507 5.335 6.563 5.744 5.515 6.616 6.383 3.925 4.645 4.302 4.895 5.403 6.423 5.811 2.909 4.807 2.925 6.597 6.306
3.221 6.123 5.709 6.503 3.633 5.799 5.672 6.61 4.433 6.151 3.96 5.521 4.34 3.54 4.282 4.96 3.313 6.094 5.296
2.993 3.179 5.02 4.163 5.396 4.668 5.019 5.176 4.772 4.457 3.118 5.034 3.303 3.274 6.372 3.67 6.484 3.937 3.478
6.233 6.56 3.996 5.289 4.545 5.451 6.548 3.824 3.335 3.771 3.181 5.252 3.773 6.305 4.939 5.096 6.575 5.457 5.013
3.798 2.977 3.833 4.164 4.508 4.445 5.998 3.362 3.361 5.134 3.117 6.201 5.466 6.196 4.662 3.401 2.975 4.221 6.406
2.891 6.04 6.235 3.682 3.525 4.305 6.513 4.933 6.173 4.683 4.418 5.38 6.054 6.666 4.749 3.056 4.739 6.617 5.84
5.962 6.041 4.559 5.852 3.593 3.67 5.319 6.011 5.154 6.28 3.327 6.192 6.553 6.15 4.034 5.46 6.144 3.177 5.469
3.392 3.047 5.966 5.612 5.205 4.316 4.303 6.046 3.868 6.418 4.545 4.638 3.677 2.998 6.479 5.175 3.782 3.811 4.633
6.209 4.937 3.232 3.919 3.882 2.97 4.673 6.032 6.152 5.973 6.282 3.396 5.754 4.932 6.598 3.694 6.035 5.948 3.849
3.22 6.45 6.132 5.076 4.989 4.656 6.331 3.633 3.079 5.558 4.204 3.117 5.082 6.658 4.814 4.405 5.957 3.179 5.026
4.2 4.082 2.962 4.461 6.456 4.127 2.914 4.931 4.601 5.688 3.315 5.578 4.392 4.804 6.638 5.257 5.253 4.881 3.805
5.118 5.929 6.283 3.208 5.579 6.575 3.454 6.19 5.608 6.285 5.025 4.03 4.8 6.185 4.594 4.973 2.866 5.907 4.074
