3.458 3.509 5.559 3.385 5.742 5.15 5.971 4.812 3.778 3.986 5.312 4.517 4.473 4.364 6.251 3.497 5.906 6.606 5.396
6.555 5.547 5.732 3.426 5.728 3.859 6.166 4.388 4.396 5.694 4.299 4.042 4.792 4.257 4.13 6.585 4.586 3.494 4.911
6.503 2.978 3.909 3.838 4.306 5.349 3.179 3.147 3.225 3.577 5.949 6.375 3.183 6.621 5.519 5.572 4.504 3.262 5.517
4.706 3.912 5.446 6.06 5.02 5.483 4.38 3.771 3.36 5.473 4.887 4.496 3.857 3.001 3.611 4.764 6.001 4.276 5.396
5.906 3.033 5.353 3.826 3.146 5.707 3.847 3.327 6.446 3.556 4.193 3.561 5.909 6.229 2.973 4.652 3.175 3.612 3.536
3.398 3.227 3.477 5.959 3.063 4.573 5.905 3.558 6.5 4.261 6.434 6.304 2.968 6.336 5.692 3.084 3.364 4.723 3.345
4.464 5.994 3.31 3.785 4.879 3.176 4.501 3.771 5.048 5.24 6.194 6.59 6.396 5.89 4.762 5.455 3.518 4.15 6.663
6.346 5.504 4.756 6.397 5.825 3.729 6.326 4.447 3.085 5.829 4.953 4.529 5.639 3.233 4.685 3.019 4.346 6.482 3.509
5.875 4.065 6.513 4.19 6.415 6.337 3.55 3.046 3.752 3.166 5.228 3.28 4.719 3.855 6.304 3.129 6.024 6.363 2.981
6.512 6.477 4.154 3.606 3.352 3.438 3.862 6.296 4.203 6.398 5.094 3.84 5.061 4.135 5.18 4.844 5.918 3.058 4.995
5.355 2.988 5.087 3.814 5.024 6.003 3.412 6.456 5.986 5.812 3.649 4.414 3.761 5.447 5.21 3.226 3.088 5.668 6.217
2.993 4.529 3.71 5.204 4.645 4.908 3.375 4.727 2.916 4.712 4.005 5.123 4.605 3.377 6.131 5.974 4.378 3.882 5.406
6.092 4.311 5.719 4.66 2.902 6.652 6.169 4.721 3.021 4.518 4.651 3.856 6.526 5.605 5.926 5.972 4.864 4.468 3.583
6.415 5.773 3.829 4.197 4.141 3.155 5.066 4.144 3.501 4.559 3.735 5.154 4.94 3.264 5.054 5.609 4.445 4.944 4.263
5.443 5.886 4.785 6.022 3.475 4.544 4.952 6.286 5.33 4.024 6.074 5.567 4.842 5.348 3.554 3.428 5.359 6.449 4.612
5.744 3.569 5.52 5.087 5.883 3.263 3.409 4.264 5.645 4.794 3.599 3.702 3.739 4.74 3.771 5.37 5.249 4.449 6.597
5.688 4.723 6.251 4.951 4.043 6.522 6.107 3.281 5.325 4.803 3.718 3.304 4.72 5.825 6.234 4.833 3.969 6.602 3.453
4.351 4.555 6.512 6.351 4.871 2.875 5.227 5.83 4.575 5.972 3.507 3.987 5.235 5.581 2.966 6.564 4.502 4.006 6.116
5.354 5.319 4.942 3.946 3.488 5.809 4.194 4.342 4.941 5.885 3.724 4.072 5.444 6.3 4.723 5.329 2.916 5.528 5.313
